tanggal,seas,anom,total
1987-03-01,JFM,1.13,27.89
1987-05-01,FMA,1.02,28.16
1987-05-01,ASO,0.64,27.24
1987-07-01,SON,0.86,27.42
1987-07-01,MAM,0.94,28.42
1987-09-01,OND,1.06,27.57
1987-09-01,AMJ,0.95,28.53
1987-11-01,NDJ,1.21,27.69
1987-11-01,MJJ,1.11,28.51
1988-01-01,DJF,0.63,27.17
1988-01-01,JJA,1.3,28.35
1988-03-01,JAS,1.46,28.23
1988-03-01,JFM,0.37,27.13
1988-05-01,ASO,1.49,28.1
1988-05-01,FMA,-0.03,27.11
1988-07-01,MAM,-0.45,27.03
1988-07-01,SON,1.41,27.97
1988-09-01,OND,1.2,27.72
1988-09-01,AMJ,-0.99,26.6
1988-11-01,NDJ,1.0,27.49
1988-11-01,MJJ,-1.3,26.09
1989-01-01,JJA,-1.3,25.75
1989-01-01,DJF,-1.64,24.91
1989-03-01,JAS,-1.14,25.63
1989-03-01,JFM,-1.38,25.39
1989-05-01,ASO,-1.27,25.34
1989-05-01,FMA,-1.09,26.05
1989-07-01,MAM,-0.85,26.63
1989-07-01,SON,-1.54,25.01
1989-09-01,OND,-1.81,24.7
1989-09-01,AMJ,-0.61,26.98
1989-11-01,MJJ,-0.4,27.0
1989-11-01,NDJ,-1.85,24.64
1990-01-01,JJA,-0.37,26.68
1990-01-01,DJF,0.18,26.73
1990-03-01,JAS,-0.36,26.41
1990-03-01,JFM,0.19,26.95
1990-05-01,ASO,-0.33,26.28
1990-05-01,FMA,0.3,27.44
1990-07-01,MAM,0.27,27.75
1990-07-01,SON,-0.25,26.31
1990-09-01,OND,-0.12,26.39
1990-09-01,AMJ,0.25,27.84
1990-11-01,MJJ,0.25,27.65
1990-11-01,NDJ,-0.04,26.45
1991-01-01,DJF,0.35,26.99
1991-01-01,JJA,0.26,27.31
1991-03-01,JAS,0.32,27.08
1991-03-01,JFM,0.26,27.16
1991-05-01,ASO,0.31,26.92
1991-05-01,FMA,0.23,27.5
1991-07-01,SON,0.27,26.83
1991-07-01,MAM,0.29,27.9
1991-09-01,OND,0.31,26.82
1991-09-01,AMJ,0.49,28.21
1991-11-01,MJJ,0.63,28.18
1991-11-01,NDJ,0.34,26.88
1992-01-01,JJA,0.77,27.97
1992-01-01,DJF,1.54,28.24
1992-03-01,JFM,1.5,28.4
